Country/Region,Date,Confirmed,Deaths,Recovered
Greece,22-1-20,0,0,0
Guatemala,22-1-20,0,0,0
Guinea,22-1-20,0,0,0
Guyana,22-1-20,0,0,0
Haiti,22-1-20,0,0,0
Holy See,22-1-20,0,0,0
Honduras,22-1-20,0,0,0
Hungary,22-1-20,0,0,0
Iceland,22-1-20,0,0,0
India,22-1-20,0,0,0
Indonesia,22-1-20,0,0,0
Iran,22-1-20,0,0,0
Iraq,22-1-20,0,0,0
Ireland,22-1-20,0,0,0
Israel,22-1-20,0,0,0
Italy,22-1-20,0,0,0
Jamaica,22-1-20,0,0,0
Japan,22-1-20,2,0,0
Jordan,22-1-20,0,0,0
Kazakhstan,22-1-20,0,0,0
Kenya,22-1-20,0,0,0
South Korea,22-1-20,1,0,0
Kuwait,22-1-20,0,0,0
Kyrgyzstan,22-1-20,0,0,0
Latvia,22-1-20,0,0,0
Lebanon,22-1-20,0,0,0
Liberia,22-1-20,0,0,0
Liechtenstein,22-1-20,0,0,0
Lithuania,22-1-20,0,0,0
Luxembourg,22-1-20,0,0,0
Madagascar,22-1-20,0,0,0
Malaysia,22-1-20,0,0,0
Maldives,22-1-20,0,0,0
Malta,22-1-20,0,0,0
Mauritania,22-1-20,0,0,0
Mauritius,22-1-20,0,0,0
Mexico,22-1-20,0,0,0
Moldova,22-1-20,0,0,0
Monaco,22-1-20,0,0,0
Mongolia,22-1-20,0,0,0
Montenegro,22-1-20,0,0,0
Morocco,22-1-20,0,0,0
Namibia,22-1-20,0,0,0
Nepal,22-1-20,0,0,0
New Zealand,22-1-20,0,0,0
Nicaragua,22-1-20,0,0,0
Niger,22-1-20,0,0,0
Nigeria,22-1-20,0,0,0
North Macedonia,22-1-20,0,0,0
Norway,22-1-20,0,0,0
Oman,22-1-20,0,0,0
Pakistan,22-1-20,0,0,0
Panama,22-1-20,0,0,0
Papua New Guinea,22-1-20,0,0,0
Paraguay,22-1-20,0,0,0
Peru,22-1-20,0,0,0
Philippines,22-1-20,0,0,0
Poland,22-1-20,0,0,0
Portugal,22-1-20,0,0,0
Qatar,22-1-20,0,0,0
Romania,22-1-20,0,0,0
Russia,22-1-20,0,0,0
Rwanda,22-1-20,0,0,0
Saint Lucia,22-1-20,0,0,0
Saint Vincent and the Grenadines,22-1-20,0,0,0
San Marino,22-1-20,0,0,0
Saudi Arabia,22-1-20,0,0,0
Senegal,22-1-20,0,0,0
Serbia,22-1-20,0,0,0
Seychelles,22-1-20,0,0,0
Singapore,22-1-20,0,0,0
Slovakia,22-1-20,0,0,0
Slovenia,22-1-20,0,0,0
Somalia,22-1-20,0,0,0
South Africa,22-1-20,0,0,0
Spain,22-1-20,0,0,0
Sri Lanka,22-1-20,0,0,0
Sudan,22-1-20,0,0,0
Suriname,22-1-20,0,0,0
Sweden,22-1-20,0,0,0
Switzerland,22-1-20,0,0,0
Taiwan*,22-1-20,1,0,0
Tanzania,22-1-20,0,0,0
Thailand,22-1-20,2,0,0
Togo,22-1-20,0,0,0
Trinidad and Tobago,22-1-20,0,0,0
Tunisia,22-1-20,0,0,0
Turkey,22-1-20,0,0,0
Uganda,22-1-20,0,0,0
Ukraine,22-1-20,0,0,0
United Arab Emirates,22-1-20,0,0,0
Uruguay,22-1-20,0,0,0
US,22-1-20,1,0,0
Uzbekistan,22-1-20,0,0,0
Venezuela,22-1-20,0,0,0
Vietnam,22-1-20,0,0,0
Zambia,22-1-20,0,0,0
Zimbabwe,22-1-20,0,0,0
Dominica,22-1-20,0,0,0
Grenada,22-1-20,0,0,0
Mozambique,22-1-20,0,0,0
Syria,22-1-20,0,0,0
Timor-Leste,22-1-20,0,0,0
Belize,22-1-20,0,0,0
Laos,22-1-20,0,0,0
Libya,22-1-20,0,0,0
West Bank and Gaza,22-1-20,0,0,0
Guinea-Bissau,22-1-20,0,0,0
Mali,22-1-20,0,0,0
Saint Kitts and Nevis,22-1-20,0,0,0
Kosovo,22-1-20,0,0,0
Burma,22-1-20,0,0,0
MS Zaandam,22-1-20,0,0,0
Botswana,22-1-20,0,0,0
Burundi,22-1-20,0,0,0
Sierra Leone,22-1-20,0,0,0
Malawi,22-1-20,0,0,0
Australia,23-1-20,0,0,0
Canada,23-1-20,0,0,0
China,23-1-20,643,18,30
Denmark,23-1-20,0,0,0
France,23-1-20,0,0,0
Netherlands,23-1-20,0,0,0
United Kingdom,23-1-20,0,0,0
Afghanistan,23-1-20,0,0,0
Albania,23-1-20,0,0,0
Algeria,23-1-20,0,0,0
Andorra,23-1-20,0,0,0
Angola,23-1-20,0,0,0
Antigua and Barbuda,23-1-20,0,0,0
Argentina,23-1-20,0,0,0
Armenia,23-1-20,0,0,0
Austria,23-1-20,0,0,0
Azerbaijan,23-1-20,0,0,0
Bahamas,23-1-20,0,0,0
Bahrain,23-1-20,0,0,0
Bangladesh,23-1-20,0,0,0
Barbados,23-1-20,0,0,0
Belarus,23-1-20,0,0,0
Belgium,23-1-20,0,0,0
Benin,23-1-20,0,0,0
Bhutan,23-1-20,0,0,0
Bolivia,23-1-20,0,0,0
Bosnia and Herzegovina,23-1-20,0,0,0
Brazil,23-1-20,0,0,0
Brunei,23-1-20,0,0,0
Bulgaria,23-1-20,0,0,0
Burkina Faso,23-1-20,0,0,0
Cabo Verde,23-1-20,0,0,0
Cambodia,23-1-20,0,0,0
Cameroon,23-1-20,0,0,0
Central African Republic,23-1-20,0,0,0
Chad,23-1-20,0,0,0
Chile,23-1-20,0,0,0
Colombia,23-1-20,0,0,0
Congo (Brazzaville),23-1-20,0,0,0
Congo (Kinshasa),23-1-20,0,0,0
Costa Rica,23-1-20,0,0,0
Cote d'Ivoire,23-1-20,0,0,0
Croatia,23-1-20,0,0,0
Diamond Princess,23-1-20,0,0,0
Cuba,23-1-20,0,0,0
Cyprus,23-1-20,0,0,0
Czechia,23-1-20,0,0,0
Djibouti,23-1-20,0,0,0
Dominican Republic,23-1-20,0,0,0
Ecuador,23-1-20,0,0,0
Egypt,23-1-20,0,0,0
El Salvador,23-1-20,0,0,0
Equatorial Guinea,23-1-20,0,0,0
Eritrea,23-1-20,0,0,0
Estonia,23-1-20,0,0,0
Eswatini,23-1-20,0,0,0
Ethiopia,23-1-20,0,0,0
Fiji,23-1-20,0,0,0
Finland,23-1-20,0,0,0
Gabon,23-1-20,0,0,0
Gambia,23-1-20,0,0,0
Georgia,23-1-20,0,0,0
Germany,23-1-20,0,0,0
Ghana,23-1-20,0,0,0
Greece,23-1-20,0,0,0
Guatemala,23-1-20,0,0,0
Guinea,23-1-20,0,0,0
Guyana,23-1-20,0,0,0
Haiti,23-1-20,0,0,0
Holy See,23-1-20,0,0,0
Honduras,23-1-20,0,0,0
Hungary,23-1-20,0,0,0
Iceland,23-1-20,0,0,0
India,23-1-20,0,0,0
Indonesia,23-1-20,0,0,0
Iran,23-1-20,0,0,0
Iraq,23-1-20,0,0,0
Ireland,23-1-20,0,0,0
Israel,23-1-20,0,0,0
Italy,23-1-20,0,0,0
Jamaica,23-1-20,0,0,0
Japan,23-1-20,2,0,0
Jordan,23-1-20,0,0,0
Kazakhstan,23-1-20,0,0,0
Kenya,23-1-20,0,0,0
South Korea,23-1-20,1,0,0
Kuwait,23-1-20,0,0,0
Kyrgyzstan,23-1-20,0,0,0
Latvia,23-1-20,0,0,0
Lebanon,23-1-20,0,0,0
Liberia,23-1-20,0,0,0
Liechtenstein,23-1-20,0,0,0
Lithuania,23-1-20,0,0,0
Luxembourg,23-1-20,0,0,0
Madagascar,23-1-20,0,0,0
Malaysia,23-1-20,0,0,0
Maldives,23-1-20,0,0,0
Malta,23-1-20,0,0,0
Mauritania,23-1-20,0,0,0
Mauritius,23-1-20,0,0,0
Mexico,23-1-20,0,0,0
Moldova,23-1-20,0,0,0
Monaco,23-1-20,0,0,0
Mongolia,23-1-20,0,0,0
Montenegro,23-1-20,0,0,0
Morocco,23-1-20,0,0,0
Namibia,23-1-20,0,0,0
Nepal,23-1-20,0,0,0
New Zealand,23-1-20,0,0,0
Nicaragua,23-1-20,0,0,0
Niger,23-1-20,0,0,0
Nigeria,23-1-20,0,0,0
North Macedonia,23-1-20,0,0,0
Norway,23-1-20,0,0,0
Oman,23-1-20,0,0,0
Pakistan,23-1-20,0,0,0
Panama,23-1-20,0,0,0
Papua New Guinea,23-1-20,0,0,0
Paraguay,23-1-20,0,0,0
Peru,23-1-20,0,0,0
Philippines,23-1-20,0,0,0
Poland,23-1-20,0,0,0
Portugal,23-1-20,0,0,0
Qatar,23-1-20,0,0,0
Romania,23-1-20,0,0,0
Russia,23-1-20,0,0,0
Rwanda,23-1-20,0,0,0
Saint Lucia,23-1-20,0,0,0
Saint Vincent and the Grenadines,23-1-20,0,0,0
San Marino,23-1-20,0,0,0
Saudi Arabia,23-1-20,0,0,0
Senegal,23-1-20,0,0,0
Serbia,23-1-20,0,0,0
Seychelles,23-1-20,0,0,0
Singapore,23-1-20,1,0,0
Slovakia,23-1-20,0,0,0
Slovenia,23-1-20,0,0,0
Somalia,23-1-20,0,0,0
South Africa,23-1-20,0,0,0
Spain,23-1-20,0,0,0
Sri Lanka,23-1-20,0,0,0
Sudan,23-1-20,0,0,0
Suriname,23-1-20,0,0,0
Sweden,23-1-20,0,0,0
Switzerland,23-1-20,0,0,0
Taiwan*,23-1-20,1,0,0
Tanzania,23-1-20,0,0,0
Thailand,23-1-20,3,0,0
Togo,23-1-20,0,0,0
Trinidad and Tobago,23-1-20,0,0,0
Tunisia,23-1-20,0,0,0
Turkey,23-1-20,0,0,0
Uganda,23-1-20,0,0,0
Ukraine,23-1-20,0,0,0
United Arab Emirates,23-1-20,0,0,0
Uruguay,23-1-20,0,0,0
US,23-1-20,1,0,0
Uzbekistan,23-1-20,0,0,0
Venezuela,23-1-20,0,0,0
Vietnam,23-1-20,2,0,0
Zambia,23-1-20,0,0,0
Zimbabwe,23-1-20,0,0,0
Dominica,23-1-20,0,0,0
Grenada,23-1-20,0,0,0
Mozambique,23-1-20,0,0,0
Syria,23-1-20,0,0,0
Timor-Leste,23-1-20,0,0,0
Belize,23-1-20,0,0,0
Laos,23-1-20,0,0,0
Libya,23-1-20,0,0,0
West Bank and Gaza,23-1-20,0,0,0
Guinea-Bissau,23-1-20,0,0,0
Mali,23-1-20,0,0,0
Saint Kitts and Nevis,23-1-20,0,0,0
Kosovo,23-1-20,0,0,0
Burma,23-1-20,0,0,0
MS Zaandam,23-1-20,0,0,0
Botswana,23-1-20,0,0,0
Burundi,23-1-20,0,0,0
Sierra Leone,23-1-20,0,0,0
Malawi,23-1-20,0,0,0
Australia,24-1-20,0,0,0
Canada,24-1-20,0,0,0
China,24-1-20,920,26,36
Denmark,24-1-20,0,0,0
France,24-1-20,2,0,0
Netherlands,24-1-20,0,0,0
United Kingdom,24-1-20,0,0,0
Afghanistan,24-1-20,0,0,0
Albania,24-1-20,0,0,0
Algeria,24-1-20,0,0,0
Andorra,24-1-20,0,0,0
Angola,24-1-20,0,0,0
Antigua and Barbuda,24-1-20,0,0,0
Argentina,24-1-20,0,0,0
Armenia,24-1-20,0,0,0
Austria,24-1-20,0,0,0
Azerbaijan,24-1-20,0,0,0
Bahamas,24-1-20,0,0,0
Bahrain,24-1-20,0,0,0
Bangladesh,24-1-20,0,0,0
Barbados,24-1-20,0,0,0
Belarus,24-1-20,0,0,0
Belgium,24-1-20,0,0,0
Benin,24-1-20,0,0,0
Bhutan,24-1-20,0,0,0
Bolivia,24-1-20,0,0,0
Bosnia and Herzegovina,24-1-20,0,0,0
Brazil,24-1-20,0,0,0
Brunei,24-1-20,0,0,0
Bulgaria,24-1-20,0,0,0
Burkina Faso,24-1-20,0,0,0
Cabo Verde,24-1-20,0,0,0
Cambodia,24-1-20,0,0,0
Cameroon,24-1-20,0,0,0
Central African Republic,24-1-20,0,0,0
Chad,24-1-20,0,0,0
Chile,24-1-20,0,0,0
Colombia,24-1-20,0,0,0
Congo (Brazzaville),24-1-20,0,0,0
Congo (Kinshasa),24-1-20,0,0,0
Costa Rica,24-1-20,0,0,0
Cote d'Ivoire,24-1-20,0,0,0
Croatia,24-1-20,0,0,0
Diamond Princess,24-1-20,0,0,0
Cuba,24-1-20,0,0,0
Cyprus,24-1-20,0,0,0
Czechia,24-1-20,0,0,0
Djibouti,24-1-20,0,0,0
Dominican Republic,24-1-20,0,0,0
Ecuador,24-1-20,0,0,0
Egypt,24-1-20,0,0,0
El Salvador,24-1-20,0,0,0
Equatorial Guinea,24-1-20,0,0,0
Eritrea,24-1-20,0,0,0
Estonia,24-1-20,0,0,0
Eswatini,24-1-20,0,0,0
Ethiopia,24-1-20,0,0,0
Fiji,24-1-20,0,0,0
Finland,24-1-20,0,0,0
Gabon,24-1-20,0,0,0
Gambia,24-1-20,0,0,0
Georgia,24-1-20,0,0,0
Germany,24-1-20,0,0,0
Ghana,24-1-20,0,0,0
Greece,24-1-20,0,0,0
Guatemala,24-1-20,0,0,0
Guinea,24-1-20,0,0,0
Guyana,24-1-20,0,0,0
Haiti,24-1-20,0,0,0
Holy See,24-1-20,0,0,0
Honduras,24-1-20,0,0,0
Hungary,24-1-20,0,0,0
Iceland,24-1-20,0,0,0
India,24-1-20,0,0,0
Indonesia,24-1-20,0,0,0
Iran,24-1-20,0,0,0
Iraq,24-1-20,0,0,0
Ireland,24-1-20,0,0,0
Israel,24-1-20,0,0,0
Italy,24-1-20,0,0,0
Jamaica,24-1-20,0,0,0
Japan,24-1-20,2,0,0
Jordan,24-1-20,0,0,0
Kazakhstan,24-1-20,0,0,0
Kenya,24-1-20,0,0,0
South Korea,24-1-20,2,0,0
Kuwait,24-1-20,0,0,0
Kyrgyzstan,24-1-20,0,0,0
Latvia,24-1-20,0,0,0
Lebanon,24-1-20,0,0,0
Liberia,24-1-20,0,0,0
Liechtenstein,24-1-20,0,0,0
Lithuania,24-1-20,0,0,0
Luxembourg,24-1-20,0,0,0
Madagascar,24-1-20,0,0,0
Malaysia,24-1-20,0,0,0
Maldives,24-1-20,0,0,0
Malta,24-1-20,0,0,0
Mauritania,24-1-20,0,0,0
Mauritius,24-1-20,0,0,0
Mexico,24-1-20,0,0,0
Moldova,24-1-20,0,0,0
Monaco,24-1-20,0,0,0
Mongolia,24-1-20,0,0,0
Montenegro,24-1-20,0,0,0
Morocco,24-1-20,0,0,0
Namibia,24-1-20,0,0,0
Nepal,24-1-20,0,0,0
New Zealand,24-1-20,0,0,0
Nicaragua,24-1-20,0,0,0
Niger,24-1-20,0,0,0
Nigeria,24-1-20,0,0,0
North Macedonia,24-1-20,0,0,0
Norway,24-1-20,0,0,0
Oman,24-1-20,0,0,0
Pakistan,24-1-20,0,0,0
Panama,24-1-20,0,0,0
Papua New Guinea,24-1-20,0,0,0
Paraguay,24-1-20,0,0,0
Peru,24-1-20,0,0,0
Philippines,24-1-20,0,0,0
Poland,24-1-20,0,0,0
Portugal,24-1-20,0,0,0
Qatar,24-1-20,0,0,0
Romania,24-1-20,0,0,0
Russia,24-1-20,0,0,0
Rwanda,24-1-20,0,0,0
Saint Lucia,24-1-20,0,0,0
Saint Vincent and the Grenadines,24-1-20,0,0,0
San Marino,24-1-20,0,0,0
Saudi Arabia,24-1-20,0,0,0
Senegal,24-1-20,0,0,0
Serbia,24-1-20,0,0,0
Seychelles,24-1-20,0,0,0
Singapore,24-1-20,3,0,0
Slovakia,24-1-20,0,0,0
Slovenia,24-1-20,0,0,0
Somalia,24-1-20,0,0,0
South Africa,24-1-20,0,0,0
Spain,24-1-20,0,0,0
Sri Lanka,24-1-20,0,0,0
Sudan,24-1-20,0,0,0
Suriname,24-1-20,0,0,0
Sweden,24-1-20,0,0,0
Switzerland,24-1-20,0,0,0
Taiwan*,24-1-20,3,0,0
Tanzania,24-1-20,0,0,0
Thailand,24-1-20,5,0,0
Togo,24-1-20,0,0,0
Trinidad and Tobago,24-1-20,0,0,0
Tunisia,24-1-20,0,0,0
Turkey,24-1-20,0,0,0
Uganda,24-1-20,0,0,0
Ukraine,24-1-20,0,0,0
United Arab Emirates,24-1-20,0,0,0
Uruguay,24-1-20,0,0,0
US,24-1-20,2,0,0
Uzbekistan,24-1-20,0,0,0
Venezuela,24-1-20,0,0,0
Vietnam,24-1-20,2,0,0
Zambia,24-1-20,0,0,0
Zimbabwe,24-1-20,0,0,0
Dominica,24-1-20,0,0,0
Grenada,24-1-20,0,0,0
Mozambique,24-1-20,0,0,0
Syria,24-1-20,0,0,0
Timor-Leste,24-1-20,0,0,0
Belize,24-1-20,0,0,0
Laos,24-1-20,0,0,0
Libya,24-1-20,0,0,0
West Bank and Gaza,24-1-20,0,0,0
Guinea-Bissau,24-1-20,0,0,0
Mali,24-1-20,0,0,0
Saint Kitts and Nevis,24-1-20,0,0,0
Kosovo,24-1-20,0,0,0
Burma,24-1-20,0,0,0
MS Zaandam,24-1-20,0,0,0
Botswana,24-1-20,0,0,0
Burundi,24-1-20,0,0,0
Sierra Leone,24-1-20,0,0,0
Malawi,24-1-20,0,0,0
Australia,25-1-20,0,0,0
Canada,25-1-20,0,0,0
China,25-1-20,1406,42,39
Denmark,25-1-20,0,0,0
France,25-1-20,3,0,0
Netherlands,25-1-20,0,0,0
United Kingdom,25-1-20,0,0,0
Afghanistan,25-1-20,0,0,0
Albania,25-1-20,0,0,0
Algeria,25-1-20,0,0,0
Andorra,25-1-20,0,0,0
Angola,25-1-20,0,0,0
Antigua and Barbuda,25-1-20,0,0,0
Argentina,25-1-20,0,0,0
Armenia,25-1-20,0,0,0
Austria,25-1-20,0,0,0
Azerbaijan,25-1-20,0,0,0
Bahamas,25-1-20,0,0,0
Bahrain,25-1-20,0,0,0
Bangladesh,25-1-20,0,0,0
Barbados,25-1-20,0,0,0
Belarus,25-1-20,0,0,0
Belgium,25-1-20,0,0,0
Benin,25-1-20,0,0,0
Bhutan,25-1-20,0,0,0
Bolivia,25-1-20,0,0,0
Bosnia and Herzegovina,25-1-20,0,0,0
Brazil,25-1-20,0,0,0
Brunei,25-1-20,0,0,0
Bulgaria,25-1-20,0,0,0
Burkina Faso,25-1-20,0,0,0
Cabo Verde,25-1-20,0,0,0
Cambodia,25-1-20,0,0,0
Cameroon,25-1-20,0,0,0
Central African Republic,25-1-20,0,0,0
Chad,25-1-20,0,0,0
Chile,25-1-20,0,0,0
Colombia,25-1-20,0,0,0
Congo (Brazzaville),25-1-20,0,0,0
Congo (Kinshasa),25-1-20,0,0,0
Costa Rica,25-1-20,0,0,0
Cote d'Ivoire,25-1-20,0,0,0
Croatia,25-1-20,0,0,0
Diamond Princess,25-1-20,0,0,0
Cuba,25-1-20,0,0,0
Cyprus,25-1-20,0,0,0
Czechia,25-1-20,0,0,0
Djibouti,25-1-20,0,0,0
Dominican Republic,25-1-20,0,0,0
Ecuador,25-1-20,0,0,0
Egypt,25-1-20,0,0,0
El Salvador,25-1-20,0,0,0
Equatorial Guinea,25-1-20,0,0,0
Eritrea,25-1-20,0,0,0
Estonia,25-1-20,0,0,0
Eswatini,25-1-20,0,0,0
Ethiopia,25-1-20,0,0,0
Fiji,25-1-20,0,0,0
Finland,25-1-20,0,0,0
Gabon,25-1-20,0,0,0
Gambia,25-1-20,0,0,0
Georgia,25-1-20,0,0,0
Germany,25-1-20,0,0,0
Ghana,25-1-20,0,0,0
Greece,25-1-20,0,0,0
Guatemala,25-1-20,0,0,0
Guinea,25-1-20,0,0,0
Guyana,25-1-20,0,0,0
Haiti,25-1-20,0,0,0
Holy See,25-1-20,0,0,0
Honduras,25-1-20,0,0,0
Hungary,25-1-20,0,0,0
Iceland,25-1-20,0,0,0
India,25-1-20,0,0,0
Indonesia,25-1-20,0,0,0
Iran,25-1-20,0,0,0
Iraq,25-1-20,0,0,0
Ireland,25-1-20,0,0,0
Israel,25-1-20,0,0,0
Italy,25-1-20,0,0,0
Jamaica,25-1-20,0,0,0
Japan,25-1-20,2,0,0
Jordan,25-1-20,0,0,0
Kazakhstan,25-1-20,0,0,0
Kenya,25-1-20,0,0,0
South Korea,25-1-20,2,0,0
Kuwait,25-1-20,0,0,0
Kyrgyzstan,25-1-20,0,0,0
Latvia,25-1-20,0,0,0
Lebanon,25-1-20,0,0,0
Liberia,25-1-20,0,0,0
Liechtenstein,25-1-20,0,0,0
Lithuania,25-1-20,0,0,0
Luxembourg,25-1-20,0,0,0
Madagascar,25-1-20,0,0,0
Malaysia,25-1-20,3,0,0
Maldives,25-1-20,0,0,0
Malta,25-1-20,0,0,0
Mauritania,25-1-20,0,0,0
Mauritius,25-1-20,0,0,0
Mexico,25-1-20,0,0,0
Moldova,25-1-20,0,0,0
Monaco,25-1-20,0,0,0
Mongolia,25-1-20,0,0,0
Montenegro,25-1-20,0,0,0
Morocco,25-1-20,0,0,0
Namibia,25-1-20,0,0,0
Nepal,25-1-20,1,0,0
New Zealand,25-1-20,0,0,0
Nicaragua,25-1-20,0,0,0
Niger,25-1-20,0,0,0
Nigeria,25-1-20,0,0,0
North Macedonia,25-1-20,0,0,0
Norway,25-1-20,0,0,0
Oman,25-1-20,0,0,0
Pakistan,25-1-20,0,0,0
Panama,25-1-20,0,0,0
Papua New Guinea,25-1-20,0,0,0
Paraguay,25-1-20,0,0,0
Peru,25-1-20,0,0,0
Philippines,25-1-20,0,0,0
Poland,25-1-20,0,0,0
Portugal,25-1-20,0,0,0
Qatar,25-1-20,0,0,0
Romania,25-1-20,0,0,0
Russia,25-1-20,0,0,0
Rwanda,25-1-20,0,0,0
Saint Lucia,25-1-20,0,0,0
Saint Vincent and the Grenadines,25-1-20,0,0,0
San Marino,25-1-20,0,0,0
Saudi Arabia,25-1-20,0,0,0
Senegal,25-1-20,0,0,0
Serbia,25-1-20,0,0,0
Seychelles,25-1-20,0,0,0
Singapore,25-1-20,3,0,0
Slovakia,25-1-20,0,0,0
Slovenia,25-1-20,0,0,0
Somalia,25-1-20,0,0,0
South Africa,25-1-20,0,0,0
Spain,25-1-20,0,0,0
Sri Lanka,25-1-20,0,0,0
Sudan,25-1-20,0,0,0
Suriname,25-1-20,0,0,0
Sweden,25-1-20,0,0,0
Switzerland,25-1-20,0,0,0
Taiwan*,25-1-20,3,0,0
Tanzania,25-1-20,0,0,0
Thailand,25-1-20,7,0,0
Togo,25-1-20,0,0,0
Trinidad and Tobago,25-1-20,0,0,0
Tunisia,25-1-20,0,0,0
Turkey,25-1-20,0,0,0
Uganda,25-1-20,0,0,0
Ukraine,25-1-20,0,0,0
United Arab Emirates,25-1-20,0,0,0
Uruguay,25-1-20,0,0,0
US,25-1-20,2,0,0
Uzbekistan,25-1-20,0,0,0
Venezuela,25-1-20,0,0,0
Vietnam,25-1-20,2,0,0
Zambia,25-1-20,0,0,0
Zimbabwe,25-1-20,0,0,0
Dominica,25-1-20,0,0,0
Grenada,25-1-20,0,0,0
Mozambique,25-1-20,0,0,0
Syria,25-1-20,0,0,0
Timor-Leste,25-1-20,0,0,0
Belize,25-1-20,0,0,0
Laos,25-1-20,0,0,0
Libya,25-1-20,0,0,0
West Bank and Gaza,25-1-20,0,0,0
Guinea-Bissau,25-1-20,0,0,0
Mali,25-1-20,0,0,0
Saint Kitts and Nevis,25-1-20,0,0,0
Kosovo,25-1-20,0,0,0
Burma,25-1-20,0,0,0
MS Zaandam,25-1-20,0,0,0
Botswana,25-1-20,0,0,0
Burundi,25-1-20,0,0,0
Sierra Leone,25-1-20,0,0,0
Malawi,25-1-20,0,0,0
Australia,26-1-20,4,0,0
Canada,26-1-20,1,0,0
China,26-1-20,2075,56,49
Denmark,26-1-20,0,0,0
France,26-1-20,3,0,0
Netherlands,26-1-20,0,0,0
United Kingdom,26-1-20,0,0,0
Afghanistan,26-1-20,0,0,0
Albania,26-1-20,0,0,0
Algeria,26-1-20,0,0,0
Andorra,26-1-20,0,0,0
Angola,26-1-20,0,0,0
Antigua and Barbuda,26-1-20,0,0,0
Argentina,26-1-20,0,0,0
Armenia,26-1-20,0,0,0
Austria,26-1-20,0,0,0
Azerbaijan,26-1-20,0,0,0
Bahamas,26-1-20,0,0,0
Bahrain,26-1-20,0,0,0
Bangladesh,26-1-20,0,0,0
Barbados,26-1-20,0,0,0
Belarus,26-1-20,0,0,0
Belgium,26-1-20,0,0,0
Benin,26-1-20,0,0,0
Bhutan,26-1-20,0,0,0
Bolivia,26-1-20,0,0,0
Bosnia and Herzegovina,26-1-20,0,0,0
Brazil,26-1-20,0,0,0
Brunei,26-1-20,0,0,0
Bulgaria,26-1-20,0,0,0
Burkina Faso,26-1-20,0,0,0
Cabo Verde,26-1-20,0,0,0
Cambodia,26-1-20,0,0,0
Cameroon,26-1-20,0,0,0
Central African Republic,26-1-20,0,0,0
Chad,26-1-20,0,0,0
Chile,26-1-20,0,0,0
Colombia,26-1-20,0,0,0
Congo (Brazzaville),26-1-20,0,0,0
Congo (Kinshasa),26-1-20,0,0,0
Costa Rica,26-1-20,0,0,0
Cote d'Ivoire,26-1-20,0,0,0
Croatia,26-1-20,0,0,0
Diamond Princess,26-1-20,0,0,0
Cuba,26-1-20,0,0,0
Cyprus,26-1-20,0,0,0
Czechia,26-1-20,0,0,0
Djibouti,26-1-20,0,0,0
Dominican Republic,26-1-20,0,0,0
Ecuador,26-1-20,0,0,0
Egypt,26-1-20,0,0,0
El Salvador,26-1-20,0,0,0
Equatorial Guinea,26-1-20,0,0,0
Eritrea,26-1-20,0,0,0
Estonia,26-1-20,0,0,0
Eswatini,26-1-20,0,0,0
Ethiopia,26-1-20,0,0,0
